set_id;yt_id;split
1004;-5AgLsDICVM;A
1004;-8NZOlNbZKM;A
1004;-FjrNkXrIJo;A
1004;-IH4Fo71vmg;A
1004;-LUpM0d2Xq0;A
1004;-Lv474c35RQ;A
1004;-SA6Gc1L_kA;A
1004;-TXFlc2Ul7o;A
1004;-sgMt-i6FME;A
1004;-uWEqKFaITU;A
1004;-x_WVQllXoA;A
1004;01ZbtYJdgBQ;A
1004;02TqG5bcQuA;A
1004;03_nQ9D1poc;A
1004;03cAYLqezUU;A
1004;06HXdBByS5o;A
1004;07R9euqysgM;A
1004;08bsirk2Rgs;A
1004;0Ej5jvZfhVI;A
1004;0K3ObYnlxy8;A
1004;0Z5RDIPcxrk;A
1004;0ZeE97I1KGY;A
1004;0j9kaBqmx2Y;A
1004;0t3e52hNkZg;A
1004;1EB0BXa2mrQ;A
1004;1GlsUnvpH2Q;A
1004;1KTRjUYtu3Q;A
1004;1WH-R3xD-qg;A
1004;1e4ac3A9MII;A
1004;1ek4AkJ873U;A
1004;1fsrR_U-qEU;A
1004;1lq015SEiZ8;A
1004;1rG4hBq-r34;A
1004;1uwm_YxrNRE;A
1004;1xMutBaWXSQ;A
1004;2-iwWVr3b1s;A
1004;26bdUW96oyk;A
1004;2BY21T52oFw;A
1004;2EdyKhxXe0g;A
1004;2HSMsmkAeSI;A
1004;2I7FxK34QwA;A
1004;2KDe6z7CEVI;A
1004;2TirHEADRX4;A
1004;2Z_TUAn2lVw;A
1004;2bUPLRq54nY;A
1004;2c-Leu8pMkY;A
1004;2mFGV6NI9Ak;A
1004;2mJqN9Jg2kM;A
1004;2oFzh2L-x3I;A
1004;2tQibmnHiF4;A
1004;2wFbXDUHbu8;A
1004;2xmCRS5B9Lk;A
1004;34GJ7ULmwjQ;A
1004;38lhYrmH9L0;A
1004;3AMsKaVBvKo;A
1004;3AXjN1-7xR0;A
1004;3AsjlHRDEko;A
1004;3FcuS9i9PtM;A
1004;3Gby1i66laU;A
1004;3IAf7-kBST4;A
1004;3MrhqpviJWM;A
1004;3Qun8mH3o6c;A
1004;3ROd2Z4yo-A;A
1004;3V-n-7wlLpw;A
1004;3WE_fwIGTqc;A
1004;3XWjgrkh76k;A
1004;3Zvshw4jMx0;A
1004;3aEH6IMwipE;A
1004;3kwhs_JWWe0;A
1004;3o9Yoj5go-g;A
1004;3pB4fVNpwdg;A
1004;3pe0Deyhc5M;A
1004;3u2YbzQHT14;A
1004;3uA0gqjO6Vg;A
1004;3xPxmEqYIUE;A
1004;3zFJ6gNkuKU;A
1004;4-nkRX4FQEc;A
1004;46dmHl2hGuA;A
1004;4D3lcWpUD34;A
1004;4IDVFnZbfi8;A
1004;4JkygWTb9tY;A
1004;4KaC0ttNR7Y;A
1004;4LTz86AWNOc;A
1004;4Md5zEbzbpE;A
1004;4VWaCTcm1rY;A
1004;4ZAOWa9gU3M;A
1004;4ZXlX9lUgpA;A
1004;4_mrIy3_JgM;A
1004;4aU_IrGepfE;A
1004;4mamhBMADjQ;A
1004;4tUrn-EESBc;A
1004;51-tiyTSGXs;A
1004;52JebS-Pw-c;A
1004;58Ypyodguvw;A
1004;5HmKQb-6y80;A
1004;5JTkrNu9v8I;A
1004;5KlcNPNS7s4;A
1004;5Ou-rOJ82EM;A
1004;5RSAZfejjBM;A
1004;5TCPwF0HZf8;A
1004;5Wc4fVJm_cY;A
1004;5eNLS4-4Vx8;A
1004;5ezTPAqCGtA;A
1004;5f11DEeuOQ0;A
1004;5lr1AqAj8kY;A
1004;5oguTLKVz9c;A
1004;5vu_Kd6bxAQ;A
1004;5y4b46Knzw0;A
1004;6-JHVlRpWWE;A
1004;63FVec3KrGQ;A
1004;6AteXz2r0zQ;A
1004;6F7rv9uP2bo;A
1004;6NXvc6mnNKY;A
1004;6SnrP7H0UqI;A
1004;6W7Q6fbllOo;A
1004;6ZaVvDl4W8s;A
1004;6_H0ex-8vRI;A
1004;6doarrvI5bQ;A
1004;6enYjQ5II5s;A
1004;6lUIC8TSZWo;A
1004;6p_6Z2ayGYs;A
1004;6rOJ5hE2G9Y;A
1004;6tPv_0TSzvU;A
1004;6wbxOfifuRM;A
1004;6yF58wFEQk4;A
1004;6ztiTBGJTaA;A
1004;78749Bl9shY;A
1004;7AxqHfypuhQ;A
1004;7D43FwWBRXw;A
1004;7SQ0a4BrS8g;A
1004;7fBcxN-XAjw;A
1004;7gjo9moPLs4;A
1004;7lFQ2DTFc2o;A
1004;7mNxNuetjz0;A
1004;7qk1ZMUaK0U;A
1004;7vwfQLEBDxw;A
1004;860JEGt_LKE;A
1004;89vyhCeIrg8;A
1004;8AJeJ_Rr7A0;A
1004;8BmAWLuh3-I;A
1004;8ZrvM8aN04Q;A
1004;8bjdDUVLIzQ;A
1004;8hgDlAerRL0;A
1004;8kDJwKsCQeQ;A
1004;947PujnWe04;A
1004;97WLw_yMnvU;A
1004;998iZ9iacvw;A
1004;9BgOEMOta7o;A
1004;9IqyJOMlSXk;A
1004;9Oy2yITlRrY;A
