set_id;ver_id;yt_id;title;performer;url;status;subset;has_feature
96;2;CupHY-UTxnM;My Favorite Things;Leslie Uggams;https://www.youtube.com/watch?v=CupHY-UTxnM;True;TEST;True
96;3;yieBzubE-fM;My Favorite Things;Mark Murphy;https://www.youtube.com/watch?v=yieBzubE-fM;True;TEST;True
96;4;G-reAa2ushQ;My Favorite Things;The Lennon Sisters;https://www.youtube.com/watch?v=G-reAa2ushQ;True;TEST;True
96;5;3KBE2KaywM4;My Favorite Things;Joe & Eddie;https://www.youtube.com/watch?v=3KBE2KaywM4;True;TEST;True
96;7;0IagRZBvLtw;My Favorite Things;Julie Andrews;https://www.youtube.com/watch?v=0IagRZBvLtw;True;TEST;True
96;9;BKRv4sDI_HQ;My Favorite Things;We Five;https://www.youtube.com/watch?v=BKRv4sDI_HQ;True;TEST;True
96;10;UL6ZXRGWp30;My Favorite Things;Tony Bennett;https://www.youtube.com/watch?v=UL6ZXRGWp30;True;TEST;True
96;11;xRNhO5ntWo0;My Favorite Things;Al Jarreau;https://www.youtube.com/watch?v=xRNhO5ntWo0;True;TEST;True
96;15;MmT_NNxrOUE;My Favorite Things;Ron Kaplan;https://www.youtube.com/watch?v=MmT_NNxrOUE;True;TEST;True
96;16;ZqjCUwMG9P4;My Favorite Things;The David Leonhardt Jazz Group;https://www.youtube.com/watch?v=ZqjCUwMG9P4;True;TEST;True
96;17;dJJ2u3P-79Q;My Favourite Things;Come Shine;https://www.youtube.com/watch?v=dJJ2u3P-79Q;True;TEST;True
96;18;RKLLW4Sl0JY;My Favorite Things;Toki Asako;https://www.youtube.com/watch?v=RKLLW4Sl0JY;True;TEST;True
96;19;g2BFp_F4PAQ;My Favorite Things;Petra Magoni - Ferruccio Spinetti con Nico Gori;https://www.youtube.com/watch?v=g2BFp_F4PAQ;True;TEST;True
96;20;UYuEUl_qPxw;My Favorite Things;Grace Mahya;https://www.youtube.com/watch?v=UYuEUl_qPxw;True;TEST;True
96;21;-Krg51LZ6tw;My Favourite Things;Big Bang;https://www.youtube.com/watch?v=-Krg51LZ6tw;True;TEST;True
96;22;We7pOlWeFDA;My Favorite Things;The Four Freshmen;https://www.youtube.com/watch?v=We7pOlWeFDA;True;TEST;True
96;24;tA_Z2YeYRN8;Favorite Things;Kristine W;https://www.youtube.com/watch?v=tA_Z2YeYRN8;True;TEST;True
96;25;QJbmBg1VFDI;My Favorite Things;Sidsel Storm;https://www.youtube.com/watch?v=QJbmBg1VFDI;True;TEST;True
96;26;OvYZMqQffQE;My Favorite Things;Pomplamoose;https://www.youtube.com/watch?v=OvYZMqQffQE;True;TEST;True
96;27;p9hRj4TzIfA;My Favorite Things;Youn Sun Nah;https://www.youtube.com/watch?v=p9hRj4TzIfA;True;TEST;True
96;28;z6_DTsoavA8;My Favorite Things;Glee Cast;https://www.youtube.com/watch?v=z6_DTsoavA8;True;TEST;True
96;29;ZIvvfbPSoS0;My Favourite Things;Carmen Souza;https://www.youtube.com/watch?v=ZIvvfbPSoS0;True;TEST;True
96;30;xC7dsGCE3h8;My Favorite Things;Scott Bradlee & Postmodern Jukebox ft. Robyn Adele Anderson;https://www.youtube.com/watch?v=xC7dsGCE3h8;True;TEST;True
96;31;raCAGghM3ik;My Favorite Things;The David Benoit Trio featuring Jane Monheit;https://www.youtube.com/watch?v=raCAGghM3ik;True;TEST;True
96;32;HiHc0a0OrLc;The Sound of Music Medley;Peter Hollens feat. The Shaytards;https://www.youtube.com/watch?v=HiHc0a0OrLc;True;TEST;True
96;33;1s_5oZqqVQk;My Favorite Things;Percy Faith and His Orchestra;https://www.youtube.com/watch?v=1s_5oZqqVQk;True;TEST;True
96;34;qWG2dsXV5HI;My Favorite Things;John Coltrane;https://www.youtube.com/watch?v=qWG2dsXV5HI;True;TEST;True
96;35;s73zvhopmdM;My Favorite Things;The Pete Jolly Trio and Friends;https://www.youtube.com/watch?v=s73zvhopmdM;True;TEST;True
96;37;S7PfDn0KhtI;My Favorite Things;Kenny Burrell;https://www.youtube.com/watch?v=S7PfDn0KhtI;True;TEST;True
96;38;oJ3ndTFcU5I;My Favorite Things;The Baroque Brass;https://www.youtube.com/watch?v=oJ3ndTFcU5I;True;TEST;True
96;41;4kAsCLjz304;My Favorite Things;Gene Russell;https://www.youtube.com/watch?v=4kAsCLjz304;True;TEST;True
96;42;0nKgPxzuWTU;My Favorite Things;Chuck Wayne / Joe Puma;https://www.youtube.com/watch?v=0nKgPxzuWTU;True;TEST;True
96;44;jLOB5sh98wQ;My Favorite Things;Sun Ra Quartet;https://www.youtube.com/watch?v=jLOB5sh98wQ;True;TEST;True
96;45;r3Lh8yRIfSw;My Favorite Things;Carpenters;https://www.youtube.com/watch?v=r3Lh8yRIfSw;True;TEST;True
96;47;70bE0PBQG00;My Favorite Things;Ronny Jordan;https://www.youtube.com/watch?v=70bE0PBQG00;True;TEST;True
96;48;tZG7P3MAL4I;My Favorite Things;Celea - Liebman - Reisinger;https://www.youtube.com/watch?v=tZG7P3MAL4I;True;TEST;True
96;50;q7JEUetg8lE;My Favorite Things;Yo-Yo Ma, Chris Botti;https://www.youtube.com/watch?v=q7JEUetg8lE;True;TEST;True
96;51;AMhxFZ9h7QE;My Favorite Things;Stephanie Jackson;https://www.youtube.com/watch?v=AMhxFZ9h7QE;True;TEST;True
96;52;-VAx8h2xzT0;My Favorite Things;Joey Alexander;https://www.youtube.com/watch?v=-VAx8h2xzT0;True;TEST;True
157;1;byd6klReNLQ;Come Together;The Now Generation [US];https://www.youtube.com/watch?v=byd6klReNLQ;True;TEST;True
157;3;7EO87-ItJC0;Come Together;Herbie Mann;https://www.youtube.com/watch?v=7EO87-ItJC0;True;TEST;True
157;4;OM5WVdGyAwo;Come Together;The Supremes;https://www.youtube.com/watch?v=OM5WVdGyAwo;True;TEST;True
157;5;nqwO3MhSL4s;Come Together;Diana Ross;https://www.youtube.com/watch?v=nqwO3MhSL4s;True;TEST;True
157;6;_8206GXX4qU;Come Together;Syl Johnson;https://www.youtube.com/watch?v=_8206GXX4qU;True;TEST;True
157;7;odX_AXXOKS4;Come Together;Chairmen of the Board;https://www.youtube.com/watch?v=odX_AXXOKS4;True;TEST;True
157;8;K8JAPvzgnPA;If You Gotta Make a Fool of Somebody / Come Together;Ben E. King;https://www.youtube.com/watch?v=K8JAPvzgnPA;True;TEST;True
157;10;chj2KoFrZxM;Because/Come Together;George Benson;https://www.youtube.com/watch?v=chj2KoFrZxM;True;TEST;True
157;13;q-gMK2-_c5k;Come Together;The Hans Staymer Band;https://www.youtube.com/watch?v=q-gMK2-_c5k;True;TEST;True
157;14;7eY0La2UyCU;Come Together;Kin Ping Meh;https://www.youtube.com/watch?v=7eY0La2UyCU;True;TEST;True
157;15;fhUyOtkvNfE;Come Together;Railroad Gin;https://www.youtube.com/watch?v=fhUyOtkvNfE;True;TEST;True
157;16;0Gp5QoRp6c8;Come Together;Gladys Knight & The Pips;https://www.youtube.com/watch?v=0Gp5QoRp6c8;True;TEST;True
157;17;yqAkdxjneig;Come Together;Tina Turner;https://www.youtube.com/watch?v=yqAkdxjneig;True;TEST;True
157;18;Wo4GJ6YdDeY;Come Together;Aerosmith;https://www.youtube.com/watch?v=Wo4GJ6YdDeY;True;TEST;True
157;19;qP94nkhmeVU;Come Together;Sarah Vaughan;https://www.youtube.com/watch?v=qP94nkhmeVU;True;TEST;True
157;22;GoUKdLQ91Zc;Come Together;Michael Jackson;https://www.youtube.com/watch?v=GoUKdLQ91Zc;True;TEST;True
157;23;NKs-6pzkT1o;Come Together;Funky Young Monks;https://www.youtube.com/watch?v=NKs-6pzkT1o;True;TEST;True
157;24;cM6ZHBShEbk;Come Together;Trouble [1];https://www.youtube.com/watch?v=cM6ZHBShEbk;True;TEST;True
157;25;xDru--PmFk4;Come Together;Beat Surrender;https://www.youtube.com/watch?v=xDru--PmFk4;True;TEST;True
157;26;pmtK9c2dSos;Come Together;Karen Jones;https://www.youtube.com/watch?v=pmtK9c2dSos;True;TEST;True
157;27;fpT4kgg5xlw;Come Together;Soundgarden;https://www.youtube.com/watch?v=fpT4kgg5xlw;True;TEST;True
157;28;ySFRMoJwub0;Come Together;Shalamar;https://www.youtube.com/watch?v=ySFRMoJwub0;True;TEST;True
